1	3	2025	5112
1	15	2025	6987
1	28	2025	4901
2	5	2025	7015
2	19	2025	5876
2	26	2025	6789
3	2	2025	4562
3	18	2025	7345
3	29	2025	5342
4	7	2025	6234
4	21	2025	4890
4	30	2025	7123
5	10	2025	5521
5	22	2025	6543
5	31	2025	4789
6	6	2025	7234
6	17	2025	5901
6	25	2025	6321
7	4	2025	6890
7	16	2025	5210
7	27	2025	7456
8	9	2025	4987
8	20	2025	7023
8	30	2025	5678
9	5	2025	6112
9	19	2025	5129
9	28	2025	7210
10	8	2025	4678
10	22	2025	6456
10	31	2025	5230
11	7	2025	7109
11	18	2025	4876
11	29	2025	6987
12	4	2025	5342
12	16	2025	6789
12	27	2025	7015
